CUR_NME,SITE_TYPE,GIS_AREA,DISTRICT
Shaw's Pass Nature Reserve,Nature Reserve,61,Overberg
Kogelberg Nature Reserve,Nature Reserve,778,Overberg
Jakkalsdans Nature Reserve,Nature Reserve,5980,Garden Route
Oorlogskloof Nature Reserve,Nature Reserve,6170,West Coast
Viljoensdrift Nature Reserve,Nature Reserve,290,Cape Winelands
Rietkraal Nature Reserve,Nature Reserve,922,Garden Route
Thornhill Nature Reserve,Nature Reserve,4618,Garden Route
Anysberg Provincial Nature Reserve,Nature Reserve,73813,Central Karoo
Skeiding Nature Reserve,Nature Reserve,1140,Garden Route
Rooi Els Nature Reserve,Nature Reserve,4,Overberg
Wilderness National Lake Area,Protected Environment,14285,Garden Route
Fontein Nature Reserve,Nature Reserve,342,Garden Route
Mountshoek Protected Environment,Protected Environment,7181,West Coast
Foxenburg Nature Reserve,Nature Reserve,79,Cape Winelands
Rolbaken Nature Reserve,Nature Reserve,509,Garden Route
Eastford Private Nature Reserve,Nature Reserve,140,Garden Route
Bontebok National Park,National Park,3414,Overberg
Garden Route National Park,National Park,125788,Garden Route
Van Kervel Nature Reserve,Nature Reserve,9,Garden Route
Cape Floral Region Protected Areas,World Heritage Site,894758,Garden Route
Table Mountain National Park,National Park,22288,City of Cape Town
Driftsands Nature Reserve,Nature Reserve,433,City of Cape Town
False Bay Nature Reserve,Nature Reserve,1769,City of Cape Town
Agulhas National Park,National Park,21578,Overberg
Karoo National Park,National Park,84469,Central Karoo
Wolwekraal Nature Reserve,Nature Reserve,114,Central Karoo
De Hoop Marine Protected Area,Marine Protected Area,28767,Overberg
Malgas Island Marine Protected Area,Marine Protected Area,115,West Coast
Sunshine Nature Reserve,Nature Reserve,2650,Cape Winelands
West Coast National Park,National Park,36556,West Coast
Vogelfontein Protected Environment,Protected Environment,2466,Central Karoo
Franco Three Fountains Nature Reserve,Nature Reserve,21,City of Cape Town
Haarwegskloof Nature Reserve,Nature Reserve,497,Overberg
Mountain Zebra-Camdeboo Protected Environment,Protected Environment,891006,Central Karoo
Wit Clay Gat  Nature Reserve,Nature Reserve,591,West Coast
Blomfontein Nature Reserve,Nature Reserve,2318,West Coast
Tankwa Karoo National Park,National Park,109066,Cape Winelands
Mount David Nature Reserve,Nature Reserve,824,Overberg
Lettas Kraal Nature Reserve,Nature Reserve,6898,Cape Winelands
Wilderness Nature Reserve,Nature Reserve,622,Garden Route
Bloutoring Nature Reserve,Nature Reserve,4648,Cape Winelands
Buffalo Valley Nature Reserve,Nature Reserve,323,Garden Route
Cederberg Oasis Nature Reserve,Nature Reserve,366,West Coast
Kleinheuwel Nature Reserve,Nature Reserve,4631,Overberg
Gecko Rock Private Nature Reserve,Nature Reserve,3668,Cape Winelands
Puntjie Nature Reserve,Nature Reserve,108,Garden Route
Zebraskop Nature Reserve,Nature Reserve,4159,Garden Route
Knersvlakte Nature Reserve,Nature Reserve,119329,West Coast
Koopmanskloof Private Nature Reserve,Nature Reserve,92,Cape Winelands
Voorstekop Eco Reserve,Nature Reserve,1239,Garden Route
